"Name","numLayers","numHeads","EPOCHS","probe/FP","probe/MP","probe/DayM","probe/YearMD","State","Notes","User","Tags","Created","Runtime","Sweep","BATCH_SIZE","FIELDS","GRAD_CLIP","INVOCATION","K","LR","MODEL_TYPE","N","NAME","POST_REDUCE_PATH","PRE_REDUCE_PATH","SEED","SEQ_LEN","SHUFFLE_SEED","WARMUP_STEPS","WEIGHT_DECAY","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adam_beta1","adam_beta2","adam_epsilon","attention_bias","attention_dropout","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","bf16","bf16_full_eval","bos_token_id","chunk_size_feed_forward","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","disable_tqdm","dmodel","do_eval","do_predict","do_train","enable_jit_checkpoint","eosToken","eos_token_id","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","fp16","fp16_full_eval","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","full_determinism","gradient_accumulation_steps","gradient_checkpointing","head_dim","hidden_act","hidden_size","hub_always_push","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_for_metrics","include_num_input_tokens_seen","initializer_range","intermediate_size","is_encoder_decoder","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","learning_rate","length_column_name","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_position_embeddings","max_steps","mlp_bias","model/num_parameters","num_attention_heads","num_hidden_layers","num_key_value_heads","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","per_device_eval_batch_size","per_device_train_batch_size","prediction_loss_only","pretraining_tp","project","push_to_hub","reducedEOSToken","reducedVocabSize","remove_unused_columns","report_to","restore_callback_states_from_checkpoint","return_dict","rms_norm_eps","rope_parameters.rope_theta","rope_parameters.rope_type","run_name","save_on_each_node","save_only_model","save_steps","save_strategy","save_total_limit","skip_memory_metrics","study","sweep_name","tie_word_embeddings","torch_compile","train_sampling_strategy","transformers_version","use_cache","use_cpu","use_liger_kernel","vocab_size","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","total_flos","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"epochs-16-20260517-123448","4","3","16","0.918695652173913","0.918695652173913","1","1","finished","-","","bioS_name_date_small_lama_epoch_scale, epochs","2026-05-17T22:44:52.000Z","9778","","12","[""birthday""]","1","20260517-123448","100","0.001","llama","50000","bioS_name_date_small_lama_epoch_scale","cache/bioS_name_date_small_lama_epoch_scale/bios_postreduce.bin","cache/bioS_name_date_small_lama_epoch_scale/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","2123712","3","4","3","16","adamw_torch_fused","false","runs/bioS_name_date_small_lama_epoch_scale/20260517-123448/epochs/epochs-16","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","epochs-16","false","false","2000","steps","5","true","epochs","bioS_name_date_small_lama_epoch_scale-20260517-123448","true","false","random","5.8.1","false","false","false","1836","16","234384","0.20786798000335693","5.54924215467878e-11","0.826783447265625","15303320351539200","0.89407400014303","9699.6475","289.962","24.164"
"epochs-12-20260517-123448","4","3","12","0.9278260869565216","0.9282608695652174","1","0.9995652173913044","finished","-","","bioS_name_date_small_lama_epoch_scale, epochs","2026-05-17T20:42:22.000Z","7350","","12","[""birthday""]","1","20260517-123448","100","0.001","llama","50000","bioS_name_date_small_lama_epoch_scale","cache/bioS_name_date_small_lama_epoch_scale/bios_postreduce.bin","cache/bioS_name_date_small_lama_epoch_scale/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","2123712","3","4","3","12","adamw_torch_fused","false","runs/bioS_name_date_small_lama_epoch_scale/20260517-123448/epochs/epochs-12","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","epochs-12","false","false","2000","steps","5","true","epochs","bioS_name_date_small_lama_epoch_scale-20260517-123448","true","false","random","5.8.1","false","false","false","1836","12","175788","0.21658436954021457","1.2284167349996266e-10","0.8283409118652344","11477490263654400","0.9092822198257796","7273.2954","290.019","24.169"
"epochs-10-20260517-123448","4","3","10","0.9143478260869564","0.915217391304348","0.9991304347826088","1","finished","-","","bioS_name_date_small_lama_epoch_scale, epochs","2026-05-17T19:00:19.000Z","6122","","12","[""birthday""]","1","20260517-123448","100","0.001","llama","50000","bioS_name_date_small_lama_epoch_scale","cache/bioS_name_date_small_lama_epoch_scale/bios_postreduce.bin","cache/bioS_name_date_small_lama_epoch_scale/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","2123712","3","4","3","10","adamw_torch_fused","false","runs/bioS_name_date_small_lama_epoch_scale/20260517-123448/epochs/epochs-10","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","epochs-10","false","false","2000","steps","5","true","epochs","bioS_name_date_small_lama_epoch_scale-20260517-123448","true","false","random","5.8.1","false","false","false","1836","10","146490","0.21051368117332456","1.9594814271162163e-10","0.8266126251220703","9564575219712000","0.9186067870879177","6044.0485","290.837","24.237"
"epochs-8-20260517-123448","4","3","8","0.9147826086956522","0.9139130434782607","1","1","finished","-","","bioS_name_date_small_lama_epoch_scale, epochs","2026-05-17T17:38:19.000Z","4919","","12","[""birthday""]","1","20260517-123448","100","0.001","llama","50000","bioS_name_date_small_lama_epoch_scale","cache/bioS_name_date_small_lama_epoch_scale/bios_postreduce.bin","cache/bioS_name_date_small_lama_epoch_scale/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","2123712","3","4","3","8","adamw_torch_fused","false","runs/bioS_name_date_small_lama_epoch_scale/20260517-123448/epochs/epochs-8","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","epochs-8","false","false","2000","steps","5","true","epochs","bioS_name_date_small_lama_epoch_scale-20260517-123448","true","false","random","5.8.1","false","false","false","1836","8","117192","0.21435187757015228","3.3792798742604547e-10","0.8275931549072265","7651660175769600","0.9378789878231696","4841.8205","290.441","24.204"
"epochs-6-20260517-123448","4","3","6","0.9243478260869564","0.9247826086956522","0.9995652173913044","1","finished","-","","bioS_name_date_small_lama_epoch_scale, epochs","2026-05-17T16:36:40.000Z","3698","","12","[""birthday""]","1","20260517-123448","100","0.001","llama","50000","bioS_name_date_small_lama_epoch_scale","cache/bioS_name_date_small_lama_epoch_scale/bios_postreduce.bin","cache/bioS_name_date_small_lama_epoch_scale/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","2123712","3","4","3","6","adamw_torch_fused","false","runs/bioS_name_date_small_lama_epoch_scale/20260517-123448/epochs/epochs-6","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","epochs-6","false","false","2000","steps","5","true","epochs","bioS_name_date_small_lama_epoch_scale-20260517-123448","true","false","random","5.8.1","false","false","false","1836","6","87894","0.2233668714761734","6.617365251870843e-10","0.8310225677490234","5738745131827200","0.958935677955036","3621.3961","291.241","24.271"
